Index,Stimulus,Background,Surrounding,Color,GapsR_1,GapsR_2,GapsP_1,GapsP_2,Time,Match
1,0.05,0,100,4,2,6,6,2,5.3793883,1
2,0.05,0,150,4,8,6,8,6,2.4464442,1
3,0.05,0,200,4,5,,5,,2.0452842,1
4,0.05,0,250,4,2,,5,,3.0645694,0
5,0.05,0,210,4,6,2,6,2,4.0687248,1
6,0.05,0,220,4,4,2,4,2,2.768534,1
7,0.05,0,250,4,5,,5,,2.0875473,1
8,0.05,0,290,4,2,,5,,4.3581895,0
9,0.05,0,300,4,2,8,2,8,5.22437,1
10,0.05,0,310,4,5,,5,,2.8967629,1
11,0.05,0,340,4,2,8,5,,2.0016839,0
12,0.05,0,350,4,8,4,4,8,3.0049639,1
13,0.05,0,360,4,6,,6,,4.1584977,1
14,0.05,0,390,4,6,4,4,,4.8882958,0
15,0.05,0,400,4,5,,5,,2.3185722,1
16,0.05,0,410,4,5,,5,,2.1351397,1
17,0.05,0,420,4,8,4,5,,2.4410126,0
18,0.05,0,425,4,6,4,5,,1.5921357,0
1,0.05,0,100,4,2,,,,1.2294339,0
1,0.05,0,100,4,6,4,,,0.5686193,0
1,0.05,0,100,4,8,,,,0.4778656,0
