Index,Stimulus,Background,Surrounding,Color,GapsR_1,GapsR_2,GapsP_1,GapsP_2,Time,Match
1,0.08,0,0,1,2,6,6,2,39.6378525,1
2,0.08,0,50,1,8,6,8,6,123.8811866,1
3,0.08,0,100,1,5,,5,,4.2608287,1
4,0.08,0,150,1,2,,5,,3.3190793,0
5,0.08,0,110,1,6,2,5,,2.8698133,0
6,0.08,0,115,1,4,2,5,,3.0434056,0
7,0.08,0,116,1,5,,5,,4.5524805,1
8,0.08,0,117,1,2,,5,,2.8066718,0
9,0.08,0,118,1,2,8,5,,3.240224,0
1,0.08,0,0,2,5,,5,,8.1666434,1
2,0.08,0,50,2,2,8,8,2,4.5705599,1
3,0.08,0,100,2,8,4,4,8,8.8496196,1
4,0.08,0,150,2,6,,6,,9.3842597,1
5,0.08,0,200,2,6,4,5,,6.1907004,0
6,0.08,0,160,2,5,,5,,5.3054504,1
7,0.08,0,170,2,5,,5,,7.1826962,1
8,0.08,0,200,2,8,4,8,4,24.6226059,1
9,0.08,0,240,2,6,4,4,6,3.8888063,1
10,0.08,0,290,2,2,,5,,8.3832168,0
11,0.08,0,300,2,6,4,5,,3.9039806,0
12,0.08,0,305,2,8,,5,,2.5986253,0
13,0.08,0,306,2,2,4,5,,3.7033774,0
1,0.08,0,0,3,8,6,6,8,5.5675462,1
2,0.08,0,50,3,5,,5,,19.7668616,1
3,0.08,0,100,3,2,,5,,7.3758705,0
4,0.08,0,60,3,8,,8,,7.5593027,1
5,0.08,0,70,3,5,,5,,5.9984459,1
6,0.08,0,100,3,4,8,5,,11.3122575,0
7,0.08,0,110,3,2,2,5,,3.4319209,0
8,0.08,0,115,3,6,,5,,2.2307372,0
9,0.08,0,116,3,5,,5,,1.8556129,1
10,0.08,0,117,3,5,,5,,2.3110158,1
11,0.08,0,118,3,4,2,5,,2.5435544,0
1,0.08,0,0,4,5,,5,,4.7278774,1
2,0.08,0,50,4,4,6,4,6,3.5666981,1
3,0.08,0,100,4,5,,5,,4.5841974,1
4,0.08,0,150,4,4,,4,,5.1504964,1
5,0.08,0,200,4,2,,2,,2.7512209,1
6,0.08,0,250,4,8,,8,,2.8249534,1
7,0.08,0,300,4,4,2,4,2,4.0952439,1
8,0.08,0,350,4,4,8,8,4,7.2786621,1
9,0.08,0,400,4,5,,5,,3.656912,1
10,0.08,0,450,4,5,,5,,3.8786857,1
11,0.08,0,500,4,2,,2,4,5.7071828,0
12,0.08,0,460,4,6,8,8,6,6.2608439,1
13,0.08,0,470,4,6,,6,,3.1998469,1
14,0.08,0,500,4,6,,4,6,4.551121,0
15,0.08,0,510,4,4,8,5,,3.8385021,0
16,0.08,0,515,4,5,,5,,2.7690977,1
17,0.08,0,520,4,4,,5,,2.1347088,0
18,0.08,0,521,4,8,,5,,2.3007805,0
1,0.08,0,0,5,4,6,4,6,6.4744685,1
2,0.08,0,50,5,5,,5,,29.7353871,1
3,0.08,0,100,5,6,2,5,,3.8981572,0
4,0.08,0,60,5,2,,5,,4.1981851,0
5,0.08,0,65,5,5,,5,,2.3568707,1
6,0.08,0,70,5,6,,5,,2.6006714,0
7,0.08,0,71,5,6,2,5,,1.8791907,0
8,0.08,0,72,5,2,6,5,,1.5518924,0
1,0.08,0,0,6,4,,4,,4.4681701,1
2,0.08,0,50,6,4,2,4,2,8.2483495,1
3,0.08,0,100,6,5,,5,,10.6402786,1
4,0.08,0,150,6,5,,5,,3.5589892,1
5,0.08,0,200,6,5,,5,,3.4628071,1
6,0.08,0,250,6,5,,5,,2.8309247,1
7,0.08,0,300,6,8,8,5,,3.6571365,0
8,0.08,0,260,6,5,,5,,9.2952734,1
9,0.08,0,270,6,8,4,5,,1.7279134,0
10,0.08,0,275,6,4,,5,,3.6310971,0
11,0.08,0,276,6,5,,5,,1.7367932,1
12,0.08,0,277,6,5,,5,,1.3579678,1
13,0.08,0,307,6,5,,5,,2.0320191,1
14,0.08,0,347,6,5,,5,,1.4324512,1
15,0.08,0,397,6,5,,5,,1.0625211,1
16,0.08,0,447,6,6,,5,,0.8323334,0
17,0.08,0,457,6,2,4,5,,0.7515108,0
18,0.08,0,462,6,4,,5,,0.7274809,0
1,0.08,0,0,7,4,6,6,4,6.0204703,1
2,0.08,0,50,7,4,6,5,,12.1117226,0
3,0.08,0,10,7,6,,6,,3.703876,1
4,0.08,0,20,7,5,,5,,4.9326051,1
5,0.08,0,50,7,2,8,8,,8.6181525,0
6,0.08,0,60,7,5,,5,,3.9110456,1
7,0.08,0,70,7,5,,5,,3.1042976,1
8,0.08,0,100,7,2,,5,,2.3596293,0
9,0.08,0,110,7,5,,5,,1.8871809,1
10,0.08,0,120,7,5,,5,,0.7685102,1
11,0.08,0,150,7,5,,5,,0.7981351,1
12,0.08,0,190,7,8,,5,,0.6880575,0
13,0.08,0,200,7,4,,5,,0.6722881,0
14,0.08,0,205,7,4,,5,,0.6261625,0
